stop_id,stop_code,stop_name,stop_lat,stop_lon
"620213845","620213845","Charcao y Cacique Nahuel",-41.159625,-71.326717
"620213718","620213718","Charcao y Cacique Nahuel",-41.159592,-71.326762
"6202160010","6202160010","Lengas y Onelli",-41.159582,-71.301717
"620214006","620214006","Lengas y Onelli",-41.159540,-71.301797
"620210539","620210539","RP 82 y Acceso a Los Coihues",-41.159428,-71.407995
"6202160000","6202160000","Lengas y Taique",-41.159342,-71.303970
"6202111290","6202111290","Av. Juan Herman y Carlos Wiederhold",-41.159340,-71.314260
"6202139111","6202139111","Lengas y Taique",-41.159340,-71.303760
"620212206","620212206","Av. Juan Herman y Carlos Wiederhold",-41.159310,-71.314237
"620214058","620214058","Tanque y Lenga",-41.159283,-71.303868
"620210603","620210603","Esc. N°324 Maestro Alfonso Tórtora",-41.159273,-71.417037
"6202121130","6202121130","Av. Juan Herman y Carlos Wiederhold",-41.159248,-71.314003
"620211828","620211828","Pje. Gutiérrez y Rotonda",-41.159210,-71.317590
"6202139112","6202139112","Lengas y Frey",-41.159170,-71.305303
"620214004","620214004","Lengas y Frey",-41.159127,-71.305703
"620210327","620210327","Esc. N°324 Maestro Alfonso Tórtora",-41.159098,-71.417025
"6202137240","6202137240","Av. Juan Herman y Carlos Wiederhold",-41.159085,-71.314928
"6202139113","6202139113","Lengas y Beschtedt",-41.159037,-71.306700
"620210605","620210605","RP 82 y Acceso a Los Coihues",-41.159030,-71.408018
"620214059","620214059","3 de Mayo y Beschtedt",-41.159005,-71.307125
"620213907","620213907","3 de Mayo y Beschtedt",-41.158775,-71.307347
"620213838","620213838","Av. Juan Herman y Carlos Wiederhold",-41.158772,-71.314290
"6202139070","6202139070","3 de Mayo y Beschtedt",-41.158770,-71.307340
"620213848","620213848","San Cayetano y Ñancu Lahuen",-41.158690,-71.333375
"620213714","620213714","San Cayetano y Ñancu Lahuen",-41.158627,-71.333283
"6202120160","6202120160","Pje. Gutiérrez y Cerro Carbón",-41.158595,-71.317717
"620214057","620214057","Onelli y Los Cipreses",-41.158482,-71.301350
"620213846","620213846","Charcao y Cacique Casimiro",-41.158317,-71.328302
"620210440","620210440","Onelli y Enrique Hermite",-41.158215,-71.301310
"620213717","620213717","Charcao y Cacique Casimiro",-41.158187,-71.328455
"620211121","620211121","Av. Juan Herman y Miramar",-41.158172,-71.312902
"6202150270","6202150270","Av. Juan Herman y Miramar",-41.158007,-71.312537
"620211522","620211522","Rolando y 3 de Mayo",-41.157877,-71.309967
"620214009","620214009","Cementerio Municipal",-41.157590,-71.304170
"620214056","620214056","Hermite y John O`Connor",-41.157570,-71.304220
"620213906","620213906","Cementerio Municipal",-41.157565,-71.304407
"6202140090","6202140090","Cementerio Municipal",-41.157558,-71.303820
"6202139109","6202139109","Esc. N°310 Arrayanes",-41.157558,-71.301230
"620213715","620213715","San Cayetano y Molle",-41.157450,-71.331557
"620214002","620214002","Enrique Hermite y Beschtedt",-41.157330,-71.306667
"620210439","620210439","Rolando y Av. Juan Herman",-41.157298,-71.309907
"6202111300","6202111300","Rolando y Av. Juan Herman",-41.157100,-71.309920
"620213847","620213847","San Cayetano y Molle",-41.157017,-71.330922
"620214055","620214055","Beschtedt y Enrique Hermite",-41.156997,-71.306935
"620211827","620211827","Pje. Gutiérrez y Golfo de San Matías",-41.156760,-71.317720
"6202119160","6202119160","Pje. Gutiérrez y Golfo de San Matías",-41.156695,-71.317693
"620211520","620211520","Av. Juan Herman y Rolando",-41.156683,-71.309425
"620213716","620213716","San Cayetano y Charcao",-41.156627,-71.330345
"6202123010","6202123010","Adolfo Alsina y Av. Río Negro",-41.156550,-71.324350
"620212425","620212425","Adolfo Alsina y Av. Río Negro",-41.156528,-71.324450
"620213954","620213954","Calle 5 y Calle 2",-41.156497,-71.283357
"620213837","620213837","Av. Juan Herman y Rolando",-41.156488,-71.308955
"620213955","620213955","La Habana y Calle 8",-41.156363,-71.281817
"620212424","620212424","Av. Río Negro y Maquinchao",-41.156277,-71.323663
"6202111310","6202111310","Rolando y Padre Elguea",-41.156250,-71.309630
"620212204","620212204","Rolando y Padre Elguea",-41.156250,-71.309562
"6202121150","6202121150","Rolando y Padre Elguea",-41.156212,-71.309568
"6202123020","6202123020","Av. Río Negro y Maquinchao",-41.156200,-71.323480
"6202142070","6202142070","Guillermo Oses y Ruíz Moreno",-41.155992,-71.297748
"620214103","620214103","Guillermo Oses y Ruíz Moreno",-41.155950,-71.298330
"6202142060","6202142060","Rivadavia y Sgto. Primero Guillermo Oses",-41.155947,-71.295062
"620212420","620212420","Piedras Blancas y Pje. Gutiérrez",-41.155873,-71.317627
"620211523","620211523","Beschtedt y Av. Juan Herman",-41.155820,-71.306710
"620212423","620212423","Av. Río Negro y Sierra Colorada",-41.155810,-71.322572
"6202123030","6202123030","Av. Río Negro y Sierra Colorada",-41.155807,-71.322563
"620214102","620214102","Guillermo Oses y Onelli",-41.155790,-71.300552
"6202142080","6202142080","Guillermo Oses y Onelli",-41.155790,-71.300545
"6202139107","6202139107","Ruíz Moreno y Guillermo Oses",-41.155780,-71.298048
"620210502","620210502","Av. Juan Herman y Beschtedt",-41.155762,-71.307215
"620214104","620214104","Sgto. Primero Guillermo Oses y Rivadavia",-41.155755,-71.295580
"6202123040","6202123040","Av. Río Negro y Jacobacci",-41.155422,-71.320915
"620213953","620213953","Calle 5 y Calle 8",-41.155350,-71.282800
"620212422","620212422","Av. Río Negro y Jacobacci",-41.155347,-71.320743
"620213913","620213913","Sobral y Rivadavia",-41.155287,-71.295125
"620213956","620213956","La Habana y Calle 10",-41.155268,-71.280285
"6202123070","6202123070","Pje. Gutiérrez y Miramar",-41.155253,-71.317015
"6202111320","6202111320","Pablo Mange - Esc. Primaria N°255",-41.155240,-71.309940
"620212203","620212203","Pablo Mange - Esc. Primaria N°255",-41.155212,-71.310012
"6202139106","6202139106","Sobral y Sarmiento",-41.155212,-71.295895
"620213914","620213914","Primero de Mayo y Roque Sáenz Peña",-41.155190,-71.293610
"620213912","620213912","Sobral y Sarmiento",-41.155167,-71.296340
"620211826","620211826","Pje. Gutiérrez y Miramar",-41.155155,-71.316975
"6202121160","6202121160","Pablo Mange - Esc. Primaria N°255",-41.155155,-71.310552
"6202139105","6202139105","Sobral y Malvinas",-41.155130,-71.294547
"6202139104","6202139104","Primero de Mayo y Roque Sáenz Peña",-41.155118,-71.293320
"620213908","620213908","Av. Juan Herman y Beschtedt",-41.155112,-71.305600
"620210438","620210438","Av. Juan Herman y Beschtedt",-41.155087,-71.305538
"6202111330","6202111330","Plaza Héroes de Malvinas",-41.154950,-71.313390
"620212202","620212202","Plaza Héroes de Malvinas",-41.154902,-71.313385
"6202121170","6202121170","Plaza Héroes de Malvinas",-41.154858,-71.313537
"620214054","620214054","Beschtedt y Pablo Mange",-41.154830,-71.306560
"620210505","620210505","Sobral y Elordi",-41.154830,-71.299432
"6202121180","6202121180","Pablo Mange y Camilo Goye",-41.154738,-71.314730
"620213910","620213910","Sobral y Onelli",-41.154675,-71.301085
"620212119","620212119","Pablo Mange y Pje. Gutiérrez",-41.154635,-71.316047
"6202111340","6202111340","Pablo Mange y Pje. Gutiérrez",-41.154630,-71.316470
"620212201","620212201","Pablo Mange y Pje. Gutiérrez",-41.154617,-71.316372
"6202120310","6202120310","Centro de Salud - Levalle",-41.154587,-71.306477
"6202123050","6202123050","Av. Río Negro y Piedras Blancas",-41.154580,-71.318950
"620212421","620212421","Av. Río Negro y Piedras Blancas",-41.154578,-71.318950
"620211124","620211124","Sobral y Diego Neil",-41.154482,-71.302850
"620213661","620213661","Av. Juan Herman y Sobral",-41.154380,-71.303830
"620213915","620213915","Fourous y La Paz",-41.154350,-71.290570
"620213916","620213916","La Paz y 9 de Julio",-41.154200,-71.289100
"6202139102","6202139102","La Paz y 9 de Julio",-41.154160,-71.288960
"6202111350","6202111350","Pje. Gutiérrez y Basilea",-41.153650,-71.316390
"620214053","620214053","Beschtedt - Levalle",-41.153647,-71.306357
"620213952","620213952","Playón - San Francisco",-41.153635,-71.280817
"620214519","620214519","Acceso a Cerro Catedral - Playa Norte",-41.153628,-71.439402
"620213957","620213957","La Habana y Calle 13",-41.153610,-71.277860
"620210538","620210538","RP 82 Km.4.100",-41.153602,-71.408507
"620210606","620210606","RP 82 Km.4.100",-41.153600,-71.408507
"620211825","620211825","Pje. Gutiérrez y Sobral",-41.153565,-71.316373
"620215041","620215041","Acceso a Cerro Catedral - Playa Norte",-41.153560,-71.439587
"620213660","620213660","Av. Juan Herman y Otto Goedecke",-41.153475,-71.301622
"6202123080","6202123080","Pje. Gutiérrez y Basilea",-41.153212,-71.316187
